
**************************************************************************************S T A R T *****************************************************************************************
                          name |            pid |        AS (KB) | Total mem (KB) |     Stack (KB) |      Code (KB) |      Data (KB) |      Heap (KB) | Shared Lib(bytes) |Mapped Mem (KB) |
                         qconn |        1138781 |            596 |           1764 |             16 |           1392 |            272 |             84 |                 0 |              0 |
                           pps |        1257566 |            852 |           1840 |             24 |           1120 |            200 |            496 |                 0 |              0 |
                    inc_server |        1192031 |           1628 |           8337 |             80 |           7224 |            444 |            588 |                 0 |              1 |
                        dumper |        1519712 |            368 |           1488 |             12 |           1140 |            260 |             76 |                 0 |              0 |
                      diag_app |        1241185 |          13348 |          24819 |            204 |          21704 |           1756 |           1144 |                 0 |             11 |
                       rpcbind |        1204322 |            832 |           2088 |             12 |           1384 |            224 |            468 |                 0 |              0 |
                    inc_server |        1204323 |          10336 |          17045 |             84 |           7224 |            444 |           9292 |                 0 |              1 |
                   diag_server |        1392740 |          16312 |          25651 |             56 |          12500 |           1532 |          11552 |                 0 |             11 |
                    io_service |        1208421 |           7456 |           9268 |           4036 |           2240 |           2700 |            292 |                 0 |              0 |
                           esm |        1310822 |           4972 |          11274 |             40 |           8132 |           1228 |           1744 |                 0 |            130 |
                    inc_server |        1208423 |           8732 |          15441 |             80 |           7224 |            444 |           7692 |                 0 |              1 |
                      io-audio |        1409128 |           1768 |           2716 |            136 |           2120 |            264 |            196 |                 0 |              0 |
                   ssr_service |        1429609 |            356 |           1344 |             28 |           1048 |            192 |             76 |                 0 |              0 |
               dispirq_service |        1220714 |            824 |           1624 |            164 |           1140 |            224 |             96 |                 0 |              0 |
                            sh |      214683755 |            352 |           1664 |             12 |           1272 |            208 |            172 |                 0 |              0 |
           ZeekrPlayEngine_1.0 |        1347692 |           3972 |           8412 |             96 |           5888 |            536 |           1892 |                 0 |              0 |
                          nfsd |        1491053 |            820 |           2076 |             12 |           1436 |            352 |            276 |                 0 |              0 |
            sm52inc-dispatcher |        1261678 |           1548 |           7605 |             56 |           6804 |            436 |            308 |                 0 |              1 |
                    eva_server |        1437807 |          19312 |          20664 |             32 |           2852 |          17580 |            200 |                 0 |              0 |
                            sh |      215474288 |            352 |           1664 |             12 |           1272 |            208 |            172 |                 0 |              0 |
                   safe_errmem |        1503345 |           1572 |           7684 |             52 |           6864 |            428 |            340 |                 0 |              0 |
                 ais_be_server |        1433714 |           3188 |           4188 |            484 |           1532 |            568 |           1604 |                 0 |              0 |
                    cameradiag |        1532019 |           2388 |          10000 |             44 |           8964 |            692 |            300 |                 0 |              0 |
                 load_tasecsto |        1462388 |           2168 |          10688 |            108 |           9428 |            616 |            536 |                 0 |              0 |
                           qvm |        1364085 |          33872 |          22076 |            776 |           4764 |           1736 |           1076 |                 0 |          13724 |
                       showmem |      216092790 |            544 |           1460 |             12 |           1092 |            208 |            148 |                 0 |              0 |
     signature-unit-controller |        1622135 |           1876 |           8048 |             68 |           7140 |            520 |            320 |                 0 |              0 |
         SerializerDiagnostics |        1523832 |           1460 |           7580 |             56 |           6792 |            424 |            308 |                 0 |              0 |
    soc-normal-bootmode-sender |        1622137 |           1584 |           7644 |             52 |           6852 |            432 |            308 |                 0 |              0 |
               thermal_manager |        1540218 |          12812 |          21180 |             64 |          10500 |            796 |           9820 |                 0 |              0 |
                       tcpdump |      214737019 |           2624 |           7560 |             12 |           4956 |           1928 |            664 |                 0 |              0 |
           tool_policy_manager |        1708156 |           1228 |           3052 |             48 |           2288 |            264 |            452 |                 0 |              0 |
                gsl_hab_server |        2232446 |           1496 |           2724 |             24 |           1704 |            272 |            724 |                 0 |              0 |
                       tcpdump |      215527551 |           2624 |           7560 |             12 |           4956 |           1928 |            664 |                 0 |              0 |
                gsl_hab_server |        2232448 |           1464 |           2692 |             24 |           1704 |            272 |            692 |                 0 |              0 |
                gsl_hab_server |        2236545 |           1468 |           2696 |             28 |           1704 |            272 |            692 |                 0 |              0 |
                gsl_hab_server |        2236546 |           1464 |           2692 |             24 |           1704 |            272 |            692 |                 0 |              0 |
                gsl_hab_server |        2240643 |           1464 |           2692 |             24 |           1704 |            272 |            692 |                 0 |              0 |
                         sleep |      214741124 |            224 |           1248 |             12 |           1008 |            184 |             44 |                 0 |              0 |
                         sleep |      215531654 |            224 |           1248 |             12 |           1008 |            184 |             44 |                 0 |              0 |
************************************************************************************E N D************************************************************************************************

 Total process memory in use : 933318(KB)

**************************************************************************************S T A R T *****************************************************************************************
